indicator_id,indicator,domain,subdomain,category,subject,lens_text,reason_draft,source_citation,source_effect_size,can_calculate,pragmatic_method,article_numbers,excluded,methods_from_literature,potential_data_sources,notes,doubts,domains,lenses,excluded_reason,work_package,indicator_code
246,Access to schools: secondary,Social Infrastructure,Education,Walkability,Schools: Secondary,Proximity,"Ensuring secondary schools are within a accessible distance enhances urban convenience and satisfies the educational requirements of residents, contributing to higher community satisfaction.","Onnom et al., 2018, 'Development of a Liveable City Index (LCI) Using Multi Criteria Geospatial Modelling for Medium Class Cities in Developing Countries'; Fu et al., 2019, 'The Livable Urban Landscape: GIS and Remote Sensing Extracted Land Use Assessment for Urban Livability in Changchun Proper, China'; Liu et al., 2020, 'Using Multi-Source Data to Assess Livability in Hong Kong at the Community-Based Level: A Combined Subjective-Objective Approach'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",18,,['Analytic Hierarchy Process (AHP)'],OSM/ DENUE/IMIP,,,Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_schools_secondary
362,Street connectivity,Built Environment,Urban Morphology,Walkability,Street connectivity,Quality,A well-connected pedestrian network promotes a safe environment and directly supports the physical health of residents by encouraging walking.,"Ahmed, 2012, 'Urban social sustainability: A study of the Emirati local communities in Al Ain'",Association reported; no effect size provided.,,,23,,"['Design Analysis', 'Field observation']",,,ER: Review the composite hierarchy number,Built Environment,quality,,WP01_ghsci_access_network,street_connectivity
379,Access to schools: tertiary (universities),Social Infrastructure,Education,Walkability,Schools: Tertiary (Universities),Proximity,Universities provide essential social infrastructure; their accessibility contributes to the overall convenience and livability rating of urban environments.,"Ibem and Amole, 2013, 'Residential satisfaction in public core housing in Abeokuta, Ogun State, Nigeria'; Huang and Du, 2015, 'Assessment and determinants of residential satisfaction with public housing in Hangzhou, China'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",20,,['Proximity analysis following digitization and Euclidean distance computation'],OSM/ DENUE/IMIP,,,Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_schools_tertiary_universities
62,Level of cycling traffic stress,Mobility & Transport,Active Travel,Walking Infrastructure,Level of cycling traffic stress,Quantity,"Designing side alleys to promote walking and cycling integrates residents into the urban fabric and supports a healthy, human-oriented environment.","Skalicky & Čerpes, 2019, 'Comprehensive assessment methodology for liveable residential environment'",Association reported; no effect size provided.,,Level of traffic stress network using GHSCI,23,,"[Space syntax analysis', 'Field observation']",,,"ER: From the original article this was obtained, this is defined as ""Fu2 Integration into a wider urban structure""  Which is actually focused on ""High-quality residential environment includes the coexistence of various social groups ensuring them to live in quality residential environment and preventing their users and residential environments from isolation."" So, I am not sure how we could measure this (I agree, could be difficult to measure in a meaningful way)",Mobility & Transport,quality,,WP01_ghsci_access_network,level_of_cycling_traffic_stress
10,Access to blue space,Ambient Environment,Resources,Water,Blue space,Quantity,"Proximity to available water resources is a critical liveability indicator in arid urban environments, as access to water is fundamental to human health, comfort, and survival.",No external citations provided for this indicator.,Liveability composite: weighted at 10.24% in the index; Association reported; no individual health effect size provided.,1.0,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",28,,"['Based on Landsat OLI_TIRS multispectral data, thenormalized differential water index (MNDWI) was calculated, where: MNDWI = G -  MIR/G + MIR where MIR is the reflectance value of the infrared band in Landsat andGis the reflectance value of the infrared band. Single-factor scores wereevaluated in combination with the effects of water bodies on thelivability of urban environments within a certain radiation distance.When the radiation range of water bodies was < 200 m, the areas surroundingwater bodies (e.g., wetlands and parks) were the most livable,reaching scores of 100. Water bodies could influence the livability of theurban environment within 200–500 m, where AWR was evaluated ashaving a score of 90. Areas 500–1000 m away from water bodies mightbe influenced by other buildings, where AWR had a score of 80. Areas1000–1500 m away from water bodies require travel by foot, bike orother means, and their AWR score was 60. Since water resources areextremely important to arid cities, the lowest limit was determined as60. That means the lowest level of the livability in this area is theGenerally livable when only water resources are considered.']",Landsat OLI_TIRS multispectral data,,checar indicator /ER: This would need to include the canals,Ambient Environment,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_blue_space
382,Urban heat island,Ambient Environment,Risks,Heat,Urban heat island,Quantity,Mitigating the urban heat island effect by reducing localized temperature increases promotes thermal comfort and supports the physical and mental well-being of city dwellers.,"Leya et al., 2022, 'Spatial Variations of Urban Heat Island Development in Khulna City, Bangladesh: Implications for Urban Planning and Development'",Association reported; no effect size provided.,,,18,,['Analytic Hierarchy Process (AHP)'],,,ER: Key indicator,Ambient Environment,quantity,,WP02_thermal_comfort_and_heat,urban_heat_island
107,The difference between the relative humidity in July and the optimum humidity for human body,Ambient Environment,Ambient,Thermal comfort,The difference between the relative humidity in July and the optimum humidity for human body,Quantity,"The difference from optimal humidity in July affects thermal comfort and respiratory wellness, with extreme humidity levels impacting residents' physical health.","Zhan et al., 2018, 'Assessment and determinants of satisfaction with urban livability in China'; Tang et al., 2017, 'Comprehensive evaluation of trends in human settlements quality changes and spatial differentiation characteristics of 35 Chinese major cities'",No health outcome assessed.,,,17,,['Not specified'],,,checar indicator,Ambient Environment,quantity,,WP02_thermal_comfort_and_heat,the_difference_between_the_relative_humidity_in_july
337,Humidity,Ambient Environment,Ambient,Thermal comfort,Humidity,Quantity,Appropriate humidity levels are necessary for human thermal comfort and can affect respiratory health and the perceived quality of the urban environment.,"Kashi et al., 2024, 'Effects of extreme weather events and climate change on cities’ livability'; Liang and Li, 2020, 'Resilience and sustainable development goals based social-ecological indicators and assessment of coastal urban areas'",Association reported; no effect size provided.,,Thermal comfort indicator to be calculated by Rossano,16,,"['Exploratory Factor Analysis', 'Standard Deviational Ellipse,', 'Hot Spot Analysis,', 'Network Analysis']",,ER: Rossano will work on the Thermal comfort indicator,,Ambient Environment,quantity,,WP02_thermal_comfort_and_heat,humidity
366,Hours of sunshine in January,Ambient Environment,Ambient,Thermal comfort,Hours of sunshine in January,Quantity,"Adequate sunshine duration in January supports mental wellbeing and provides natural lighting and heating, contributing to a pleasant living environment.","Arpan & Joy, 2018, 'Livability assessment within a metropolis based on the impact of integrated urban geographic factors (IUGFs) on clustering urban centers of Kolkata'; Li & Jin, 2012, 'Characteristics and spatial-temporal differences of urban human settlement environment in China'",No health outcome assessed.,,Thermal comfort indicator to be calculated by Rossano,17,,['Not specified'],,ER: Rossano will work on the Thermal comfort indicator,"CH: ""Sunshine in January"" is a very parochially phrased indicator (assumption that January is in northern hemisphere, so this is sunshine in Winter I assume; or vice versa.  But it would be better to be explicit as to which it means!) /  ER: This one is part of a ""Natural Environment Pleaseantness"" I think this could be usueful or it can be part of the heat risk indicators",Ambient Environment,quantity,,WP02_thermal_comfort_and_heat,hours_of_sunshine_in_january
370,Average temperature in sunshine,Ambient Environment,Ambient,Thermal comfort,Average temperature in sunshine,Quantity,Average winter temperature (as January mean) is a key climate amenity that influences residents' physiological comfort and health during the cold season.,"Zhan et al., 2018, 'Assessment and determinants of satisfaction with urban livability in China'; Li et al., 2008, 'Review of the theories and methods of livable city'",No health outcome assessed.,2.0,Thermal comfort indicator to be calculated by Rossano,17,,['Not specified'],,ER: Rossano will work on the Thermal comfort indicator,Will this be surface temperature or street level temperature?,Ambient Environment,quantity,,WP02_thermal_comfort_and_heat,average_temperature_in_sunshine
371,Temperature,Ambient Environment,Ambient,Thermal comfort,Temperature,Quantity,Maintaining urban temperatures within a comfortable range is vital for physical health and preventing heat-related illnesses and thermal discomfort.,"Kashi et al., 2024, 'Effects of extreme weather events and climate change on cities’ livability'; Alijani et al., 2020, 'A new approach of urban livability in Tehran: Thermal comfort as a primitive indicator'",Association reported; no effect size provided.,,Thermal comfort indicator to be calculated by Rossano,16,,"['Exploratory Factor Analysis', 'Standard Deviational Ellipse,', 'Hot Spot Analysis,', 'Network Analysis']",,ER: Rossano will work on the Thermal comfort indicator,,Ambient Environment,quantity,,WP02_thermal_comfort_and_heat,temperature
372,The difference between the average temperature in July and the optimal temperature for human body,Ambient Environment,Ambient,Thermal comfort,The difference between the average temperature in July and the optimal temperature for human body,Quantity,The difference from optimal temperature in July indicates thermal comfort; excessive summer heat is linked to physiological stress and reduced outdoor activity.,"Zhan et al., 2018, 'Assessment and determinants of satisfaction with urban livability in China'; Cao et al., 2019, 'The framework of relationship between built environment and residents healthy based on activity perspective'",No health outcome assessed.,,Thermal comfort indicator to be calculated by Rossano,17,,['Not specified'],,ER: Rossano will work on the Thermal comfort indicator,"Care needs to be taken: is ""July"" relevant for Mexicali? (e.g. better to calculate as ""Hottest month"" if that was intended by the authors; July is too parochial)",Ambient Environment,quantity,,WP02_thermal_comfort_and_heat,the_difference_between_the_average_temperature_in_july
8,Good air quality,Ambient Environment,Risks,Air Quality,Good air quality,Quality,Suitable air quality is a fundamental environmental requirement for reducing risks of respiratory and cardiovascular diseases in urban populations.,"Yang et al., 2021, 'Spatiotemporal trends and driving factors of urban livability in the Yangtze River Delta Agglomeration'; Zhu et al., 2021, 'Enhancing and promoting national environmental goals through local integrated coastal management initiatives and legislation'",Association reported; no effect size provided.,,,16,,"['Exploratory Factor Analysis', 'Standard Deviational Ellipse,', 'Hot Spot Analysis,', 'Network Analysis']",Official Air Quality monitoring system: https://www.mexicali.gob.mx/portalmexicali/calidad-aire/indices?id=1,,,Ambient Environment,quality,,WP03_air_quality,good_air_quality
136,Annual average nitrogen dioxide (1-e6 mmol/m²),Ambient Environment,Risks,Air Quality,Annual average nitrogen dioxide (1-e6 mmol/m²),Quantity; Quality,"Nitrogen dioxide is identified as a major urban problem impacting health and wellbeing, with high concentrations linked to respiratory and cardiovascular issues.","Lowe et al., 2015, 'Planning healthy, liveable and sustainable cities: how can indicators inform policy?'; Badland et al., 2014, 'Urban liveability: emerging lessons from Australia for exploring the potential for indicators to measure the social determinants of health'",Association reported; no effect size provided.,1.0,,13,,"['Identification of measurable spatial indicators, how they can me calculated and monitored']",Sentinel-5P NRTI NO2: Near Real-Time Nitrogen Dioxide (https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_NRTI_L3_NO2?hl=es-419),,,Ambient Environment,quantity; quality,,WP03_air_quality,annual_average_nitrogen_dioxide_1_e6_mmol_m2
173,Number of days PM 2.5 exceeds WHO standard (25 µg/m³),Ambient Environment,Risks,Air Quality,Number of days PM 2.5 exceeds WHO standard (25 µg/m³),Quantity,Monitoring PM2.5 levels relative to international WHO standards ensures that the city is tracking environmental risks that impact population cardiovascular and respiratory health.,"Lowe et al., 2015, 'Planning healthy, liveable and sustainable cities: how can indicators inform policy?'; Badland et al., 2014, 'Urban liveability: emerging lessons from Australia for exploring the potential for indicators to measure the social determinants of health'",Association reported; no effect size provided.,,,13,,"['Identification of measurable spatial indicators, how they can me calculated and monitored']",Official Air Quality monitoring system: https://www.mexicali.gob.mx/portalmexicali/calidad-aire/indices?id=1 Review historial data from this source,,,Ambient Environment,quantity,,WP03_air_quality,number_of_days_pm_2_5_exceeds_who
252,Per capita SO2 emissions,Ambient Environment,Risks,Air Quality,Per capita SO2 emissions,Quantity,"Lower levels of sulfur dioxide emissions signify reduced industrial pollution and progress toward carbon reduction, which are necessary for a sustainable living environment.","Estoque et al., 2019, 'A review of quality of life (QOL) assessments and indicators: Towards a ""QOL-Climate"" assessment framework'; Liang et al., 2020, 'Assessment of the impact of climate change on cities livability in China'","Liveability score: weighted indicator, no individual effect size reported",,,"31, 3",,"3: ['Entropy TOPSIS model', 'Tobit model']
31:['Grey relational degree', 'Entropy-TOPSIS model']",,"ER: Review if there is available data from SEMARNAT for: Bióxido de azufre (SO2) ""We could potentially use data from: Registro de Emisiones y Transferencias de Contaminantes (RETC)
2004-2024 (https://sinat.semarnat.gob.mx:8443/retc/retc/index.php) or Taking Stock on industry (https://takingstock.cec.org/Map?IndustryLevel=4&Measure=3&MediaTypes=2&ReportType=1&ResultType=1&Years=2023)""",,Ambient Environment,quantity,,WP03_air_quality,per_capita_so2_emissions
292,Air quality,Ambient Environment,Risks,Air Quality,Air quality,Quality,Better air quality prioritizes physical health and promotes overall well-being by reducing exposure to harmful atmospheric pollutants.,"Wang et al., 2011, 'A Comparative Study of Beijing and Three Global Cities: A Perspective on Urban Livability'; Mahmud et al., 2020, 'Assessment of Groundwater Quality in Khulna City of Bangladesh in Terms of Water Quality Index for Drinking Purpose'",Association reported; no effect size provided.,2.0,,18;22,,"1: ['Delphi', ""Kendall's coefficient"", ""Cronbach's alpha value""]
6: ['Delphi Process', 'Analytic Hierarchy Process']
18: ['Analytic Hierarchy Process (AHP)']
22: ['N/A']",Official Air Quality monitoring system: https://www.mexicali.gob.mx/portalmexicali/calidad-aire/indices?id=1,,ER: Too broad (should be defined by particles)?,Ambient Environment,quality,,WP03_air_quality,air_quality
293,Number of days with good air quality,Ambient Environment,Risks,Air Quality,Number of days with good air quality,Quantity,The frequency of days with high-quality air is a fundamental indicator of urban environmental health and atmospheric safety for residents.,"Estoque et al., 2019, 'A review of quality of life (QOL) assessments and indicators: Towards a ""QOL-Climate"" assessment framework'; Liang et al., 2020, 'Assessment of the impact of climate change on cities livability in China'","Liveability score: weighted indicator, no individual effect size reported",,,3; 31,,"3: ['Entropy TOPSIS model', 'Tobit model']
31: ['Grey relational degree', 'Entropy-TOPSIS model']",Official Air Quality monitoring system: https://www.mexicali.gob.mx/portalmexicali/calidad-aire/indices?id=1 Review historial data from this source,,,Ambient Environment,quantity,,WP03_air_quality,number_of_days_with_good_air_quality
385,Vegetation,Ambient Environment,Resources,Land,Vegetation,Quantity,"Vegetation as a land use type is the optimal land category for human settlement, directly supporting liveability and wellbeing through ecosystem services and green space provision.",No external citations provided for this indicator.,Liveability score: scored 100/100 as the most suitable land type for settlement; Association reported; no health effect size provided.,,,28,,"['Analytic Hierarchy Profess (AHP)', 'Delphi method', 'Literature analysis']",,,,Ambient Environment,quantity,,WP04_greenness_and_land_cover,vegetation
135,NDVI,Ambient Environment,Ambient,Vegetation,NDVI,Quantity,"The Normalised Difference Vegetation Index (NDVI) is used to track city-wide greenness, which supports mental health and environmental sustainability.","Sachs et al., 2019, 'Six transformations to achieve the sustainable development goals'; Lowe et al., 2015, 'Planning healthy, liveable and sustainable cities: how can indicators inform policy?'",Association reported; no effect size provided.,,,13,,"['Identification of measurable spatial indicators, how they can me calculated and monitored']",,,,Built Environment,quantity,,WP04_greenness_and_land_cover,ndvi
378,Vegetation coverage: Canopy,Ambient Environment,Ambient,Vegetation,Vegetation coverage: Canopy,Quantity,Urban tree canopy coverage mitigates local temperatures and provides shade and aesthetic value that support mental wellbeing and encourage physical activity in public spaces.,"Appleyard, 1981, 'Livable Streets'; Basiago, 1999, 'Economic, social, and environmental sustainability in development theory and urban planning practice'",Association reported; no effect size provided.,,,22,,['N/A'],,,,Built Environment,quantity,,WP04_greenness_and_land_cover,vegetation_coverage_canopy
388,Vegetation mix,Ambient Environment,Ambient,Vegetation,Vegetation mix,Diversity,"A variety of urban vegetation supports biodiversity and ecological health, while providing aesthetic and psychological benefits that enhance the living environment.","Khorrami et al., 2021, 'The indicators and methods used for measuring urban liveability: A scoping review'; Liu et al., 2020, 'Using multi-source data to assess livability in Hong Kong at the community-based level: A combined subjective-objective approach'",Association reported; no effect size provided.,,,16,,"['Exploratory Factor Analysis', 'Standard Deviational Ellipse,', 'Hot Spot Analysis,', 'Network Analysis']",,,,Built Environment,diversity,,WP04_greenness_and_land_cover,vegetation_mix
389,Vegetation percent,Ambient Environment,Ambient,Vegetation,Vegetation percent,Quantity,Mean vegetation coverage across the city helps mitigate the urban heat island effect and provides psychological health benefits through exposure to nature.,"Lowe et al., 2015, 'Planning healthy, liveable and sustainable cities: how can indicators inform policy?'; Sachs et al., 2019, 'Six transformations to achieve the sustainable development goals'",Association reported; no effect size provided.,,,13,,"['Identification of measurable spatial indicators, how they can me calculated and monitored']",,,,Ambient Environment,quantity,,WP04_greenness_and_land_cover,vegetation_percent
296,Crime?,Safety,Personal Safety,Crime,Crime?,Accessibility,Personal safety and the reduction of urban risk through protective infrastructure are identified as fundamental requirements for city liveability and resident well-being.,"Mercer, 2017, 'Quality of Living Survey'; Economist Intelligence Unit (EIU), 2012, 'Quality of Life Index'","Liveability score: weighted indicator, no individual effect size reported",,,8,,['Hierarchical Modelling using Analytic Hierarchy Process (AHP)'],,,CH: Only useful if it can be acquired with meaningful variation,Safety,accessibility,,WP05_hazards_and_incidents,crime
325,Fire incidence rate by population,Ambient Environment; Safety,Risks,Fire,Fire incidence rate by population,Quantity,"Fire safety, measured by the occurrence rate in the population, is a critical component of urban security, essential for protecting lives and property.","Arpan & Joy, 2018, 'Livability assessment within a metropolis based on the impact of integrated urban geographic factors (IUGFs) on clustering urban centers of Kolkata'; Zhan et al., 2018, 'Assessment and determinants of satisfaction with urban livability in China'",No health outcome assessed.,2.0,,17,,['Not specified'],,"ER: In Mexicali the Risk Atlas states that the most relevant fires are those related to industry, however, there is no data available for these.",,Safety; Ambient Environment,quantity,,WP05_hazards_and_incidents,fire_incidence_rate_by_population
71,Flooding,Ambient Environment,Risks,Flooding,Flooding,Accessibility,"Mitigating the exposure and impact of urban flooding is essential for maintaining residents' health and safety, particularly for those in informal and vulnerable housing.",No external citations provided for this indicator.,No health outcome assessed.,1.0,,22,,['N/A'],Risk Atlas layers for Mexicali (https://www.mexicali.gob.mx/sitioimip/geovisor/geovisor/?geovisor_id=2&access_token=),,,Ambient Environment,quantity,,WP05_hazards_and_incidents,flooding
72,Flooding - main roads,Ambient Environment,Risks,Flooding,Flooding - main roads,Quantity,The number of flood-prone locations on main roads is an indicator of infrastructure vulnerability that directly affects environmental safety and health risk management.,"Parise, 2018, 'A brief review of global climate change and the public health consequences'",Association reported; no effect size provided.,1.0,,13,,"['Identification of measurable spatial indicators, how they can me calculated and monitored']",Risk Atlas layers for Mexicali (https://www.mexicali.gob.mx/sitioimip/geovisor/geovisor/?geovisor_id=2&access_token=),,,Ambient Environment,quantity,,WP05_hazards_and_incidents,flooding_main_roads
326,Flooding - annual average days for main roads,Ambient Environment,Risks,Flooding,Flooding - annual average days for main roads,Quantity,"The duration of flooding in main road areas contributes to environmental risks and disruption of essential services, which can impact public health and safety.","Parise, 2018, 'A brief review of global climate change and the public health consequences'",Association reported; no effect size provided.,2.0,,13,,"['Identification of measurable spatial indicators, how they can me calculated and monitored']",,,,Ambient Environment,quantity,,WP05_hazards_and_incidents,flooding_annual_average_days_for_main_roads
235,Road accident locations,Safety,Road Safety,Pedestrian Infrastructure,Road accident locations,Quantity,Monitoring road accident locations supports the development of safer transport infrastructure to reduce injuries and fatalities from vehicular traffic.,"Lowe et al., 2015, 'Planning healthy, liveable and sustainable cities: how can indicators inform policy?'",Association reported; no effect size provided.,,,13,,"['Identification of measurable spatial indicators, how they can me calculated and monitored']",INEGI Accidentes de Tránsito: https://www.inegi.org.mx/programas/accidentes/#documentacion,,,Safety,quantity,,WP05_hazards_and_incidents,road_accident_locations
334,Traffic accident fatalities,Safety,Road Safety,Pedestrian Infrastructure,Traffic accident fatalities,Quantity,Traffic accident fatalities are a primary indicator of road safety; reduced mortality is a fundamental requirement for a secure and livable city environment.,"Kourtit et al., 2021, 'Safe cities in the new urban world: A comparative cluster dynamics analysis through machine learning'; Arpan & Joy, 2018, 'Livability assessment within a metropolis based on the impact of integrated urban geographic factors (IUGFs) on clustering urban centers of Kolkata'",No health outcome assessed.,,,17,,['Not specified'],INEGI Accidentes de Tránsito: https://www.inegi.org.mx/programas/accidentes/#documentacion,,,Safety,quantity,,WP05_hazards_and_incidents,traffic_accident_fatalities
341,Annual hazardous waste (kg),Ambient Environment; Safety,Risks,Waste Management,Annual hazardous waste (kg),Quantity,Monitoring hazardous waste volumes is essential for preventing the accumulation of toxic substances in the environment that can cause severe illness or injury.,"Giles-Corti et al., 2019, 'Achieving the SDGs: evaluating indicators to be used to benchmark and monitor progress towards creating healthy and sustainable cities'",Association reported; no effect size provided.,1.0,,13,,"['Identification of measurable spatial indicators, how they can me calculated and monitored']",,ER: We can obtain data for some industries from the Taking Stock website,,Safety; Ambient Environment,quantity,,WP05_hazards_and_incidents,annual_hazardous_waste_kg
19,Building design,Built Environment,Urban Morphology,Buildings,Building design,Quantity,"Building morphology and arrangement are critical for housing quality and social interaction, supporting healthy environments through improved urban ventilation.","Chan & Liu, 2018, 'Effects of neighborhood building density, height, greenspace, and cleanliness on indoor environment and health'; Ramponi & Blocken, 2012, 'A computational study on the influence of urban morphology on wind-induced outdoor ventilation'; Yuan & Ng, 2012, 'Building porosity for better urban ventilation'",Association reported; no effect size provided.,,,23,,"['Design Analysis', 'Airflow simulations']",,,I am not sure we can obtain data for this,Built Environment,quantity,,WP06_urban_form_and_land_use,building_design
22,Building height,Built Environment,Urban Morphology,Buildings,Building height,Quantity,Variation in building heights within a neighbourhood improves natural ventilation and passive pollutant dispersion while supporting residential privacy and safety.,"Ng, 2010, 'Designing high density cities for social & environmental sustainability'; An et al., 2019, 'Exploration of sustainable building morphologies for effective passive pollutant dispersion'",Association reported; no effect size provided.,,,23,,"['Design Analysis', 'Airflow simulations']",,,ER: Can we calculate this with OpenBuildings?,Built Environment,quantity,,WP06_urban_form_and_land_use,building_height
338,Dwelling density,Sociodemographics,Household,Demographics,Dwelling density,Density,Appropriate household density within dwelling units is key to preventing the negative social and health consequences of urban overcrowding.,"Reynolds-Salmon et al., 2024, 'Does household size matter? Crowding and its effects on child development'",Association reported; no effect size provided.,,,16; 27;,,"16: ['Exploratory Factor Analysis', 'Standard Deviational Ellipse,', 'Hot Spot Analysis,', 'Network Analysis']
27: indicating the number of housing units per acre",INEGI Census,,,Sociodemographics,density,,WP06_urban_form_and_land_use,dwelling_density
405,Land use type,Ambient Environment,Resources,Land,Land use type,Quality,,,,,,28,,,"https://www.mexicali.gob.mx/sitioimip/geovisor/geovisor/?url=pducpmp&access_token=
IMIP: usos de suelo https://tecmx.sharepoint.com/:f:/s/Mexicali-SIUM/IgCeSV3JIwQpT6TXm52Vw2gqAXN8KTu7Dex3TtPfbb754oo?e=4QOX5y",,ER: Could be used to calculate land use mix,Ambient Environment,quality,,WP06_urban_form_and_land_use,land_use_type
116,Land use mix,Built Environment,Urban Morphology,Land Use,Land use mix,Quality,Source article not available for review.,Not reported.,Not reported.,,,30,,['GIS-based spatial diagnostics'],"https://www.mexicali.gob.mx/sitioimip/geovisor/geovisor/?url=pducpmp&access_token=
IMIP: usos de suelo https://tecmx.sharepoint.com/:f:/s/Mexicali-SIUM/IgCeSV3JIwQpT6TXm52Vw2gqAXN8KTu7Dex3TtPfbb754oo?e=4QOX5y",,,Built Environment,quality,,WP06_urban_form_and_land_use,land_use_mix
230,Residential area,Built Environment,Urban Morphology,Land Use,Residential area,Density,"Adequate residential area per capita is important for ensuring privacy, comfort, and a high standard of living within urban dwellings.","Saeed et al., 2022, 'An integrated approach for developing an urban livability composite index—A cities’ ranking road map to achieve urban sustainability'",Association reported; no effect size provided.,,,16,,"['Exploratory Factor Analysis', 'Standard Deviational Ellipse,', 'Hot Spot Analysis,', 'Network Analysis']","https://www.mexicali.gob.mx/sitioimip/geovisor/geovisor/?url=pducpmp&access_token=
IMIP: usos de suelo https://tecmx.sharepoint.com/:f:/s/Mexicali-SIUM/IgCeSV3JIwQpT6TXm52Vw2gqAXN8KTu7Dex3TtPfbb754oo?e=4QOX5y",,ER: Could be used to calculate land use mix,Built Environment,density,,WP06_urban_form_and_land_use,residential_area
335,Urbanization rate,Sociodemographics,City,,Urbanization rate,,"Rapid urbanization can place excessive strain on the fragile ecosystems of underdeveloped regions, potentially diminishing the quality of the living environment.","Fu et al., 2017, 'Hydrogeomorphic ecosystem responses to natural and anthropogenic changes in the Loess Plateau of China'; Bediroglu, 2021, 'Developing GIS interface for the automated analysis and assessment of livable and sustainable city criterion sets'","Urban liveability: β = -0.082 (p < 0.05), inverse association",,,3,,"['Entropy TOPSIS model', 'Tobit model']",GHSL,ER: This can be measured with the longitudinal data and analysis we have on our scaling and remoteness article,,Sociodemographics,,,WP06_urban_form_and_land_use,urbanization_rate
61,Cycling infrastructure,Mobility & Transport,Active Travel,Cycling infrastructure,Cycling infrastructure,Accessibility,"Dedicated cycling infrastructure encourages sustainable, eco-friendly transportation and promotes physical health through regular active mobility.","Mekuria et al., 2017, 'Improving Liveability Using Green and Active Modes'; Stehlin, 2014, 'Regulating inclusion: Spatial form, social process, and the normalization of cycling practice in the USA'; Ruggeri, 2013, 'From Transit Stop to Urbanity Node'; Whitney et al., 2020, 'Livable streets and global competitiveness: A survey of Mexico City'",Compliance rate: 85.7% of evaluated liveability indices in the studied communities were related to public transport and green space availability.,,,27,,,IMIP: https://www.mexicali.gob.mx/sitioimip/geovisor/geovisor/?url=pimus&access_token=,"CH: This sounds like a suite of indicators/ ER: Agreed, we could use the cycling indicators we have generating for this",,Mobility & Transport,accessibility,,WP07_street_infrastructure,cycling_infrastructure
75,Sidewalk availability,Safety,Road Safety,Pedestrian Infrastructure,Sidewalk availability,Quantity,"Adequate footpath provision is a key building block of liveable neighbourhoods, directly supporting the physical health and activity levels of residents.","Hooper et al., 2015, 'The building blocks of a liveable neighbourhood: Identifying the key performance indicators for walking'",Association reported; no effect size provided.,,,23,,['Design Analysis'],,,ER: Only footpaths may not be feasible but we do have data for sidewalk availability,Safety,quantity,,WP07_street_infrastructure,sidewalk_availability
167,Pedestrian infrastructure,Mobility & Transport,Active Travel,Pedestrian Infrastructure,Pedestrian infrastructure,Accessibility,"Proper sidewalks and crosswalks are critical for safe walkability, encouraging residents to engage in health-promoting physical activities.","Baobeid et al., 2021, 'Walkability and its relationships with health, sustainability, and liveability'; Geller, 2003, 'Smart growth: A prescription for livable cities'; Furlan, 2015, 'Liveability and Social Capital in West Bay'",Proximity target: All essential amenities and recreational facilities in the proposed design are located within a 15-minute walk.,,,27,,,Inventario Nacional de Vivienda,,,Mobility & Transport,accessibility,,WP07_street_infrastructure,pedestrian_infrastructure
365,Street light infrastructure,Safety,Road Safety,Pedestrian Infrastructure,Street light infrastructure,Quality,"Well-lit pedestrian networks are essential for social sustainability, creating a safe environment that encourages nighttime use of public space.","Ahmed, 2012, 'Urban social sustainability: A study of the Emirati local communities in Al Ain'",No health outcome assessed.,1.0,Proportion of road segments with presence of public lightning,23,,['Field observation'],Inventario Nacional de Vivienda,,"I think its good to measure if we can, but the evidence is complicated (e.g. real/perceived safety vs carbon emissions and 'night sky' preservation from light pollution)  https://pmc.ncbi.nlm.nih.gov/articles/PMC4509526/#s0075",Safety,quality,,WP07_street_infrastructure,street_light_infrastructure
